textID,text,sentiment
9c2088cec2,I really need to update this more.,neutral
1de9b80ecb,I`m trying to sleep!!! It`s not working,negative
48ba01d8cb,"  Still dealing with quite a bit of pain, will jump off here soon to lay down,very frustrating  Thanks 4 asking",negative
af841b1be4,I need to go shopping with you...but I need to save my money,neutral
ea4c8aec93,http://www.mmemarko.schilderweb.nl/ for my homepage,neutral
823122597e,mean,neutral
d164728f94,lol you always make me happy.  i promise i won`t. lol its only 1 silly. you are up late too my friend,neutral
0925cf869b,it`s not.,neutral
cd3ffb6970,_Read perhaps it is all those background apps!,neutral
71640c7482,put a pot of eggs on the stove to boil..and forgot about them..then remembered them 45 min later! wonder if they`ll still b good,neutral
ba3b1d6795,- going somewhat out of town? (x visitng uncle boyet & famm!,neutral
9624b0b500,Layin in bed awake. Txtin my girl in vegas. Wishin I didn`t have to work and I was w her,negative
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
243f4fafc5,"I go to 'User Experience Roundtable Hamburg - Detlev Fischer on Accessibility, BITV Test' https://www.xing.com/events/333622 Don`t miss!",neutral
6e7e59bcd9,Drinkin` Chai tea and not sleeping.. and checkin` out some cool peeps,neutral
2f4bfc3df1,irregularly. And Im (half-assedly) working on an essay. by saying half-assedly I really mean not at all. Words not even open,neutral
38a591c5ba,left a comment on your blog post,neutral
ef972f66ed,Yes! I feel the same.  I`ve still got lots in boxes.  It`s so fun though.  Got to my new place yesterday.,neutral
3270dde3b1,Broke the laptop again...,neutral
fec2be691c,"   You HAD 6 - 5 star reviews in Canada, at least until the 'Talk like a Canadian' incident",neutral
0d450d9607,I wanna see my mama but she hasn`t called me back yet  MAMA...MAMA!!!,negative
7002f9a75a,diego? i know lo ame a jack,neutral
3592d43e3d,Moving makes me sore.  Dunno if we are gonna make it!   Its getting close!,negative
13db91abcb,not feeling well at all today! ugh cant I just go home.,negative
b3aa4e4195," big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",negative
9870d532a6,Gone have my ears on it when I am at home ..plenty of painting for you as well,neutral
187d8df080,_nk Wouldn`t call that cool or dangerous. Reckon it fits into the stupid category,negative
81828d16cc,@ the drs. in beverly hills...doctor`s scare **** out of me,negative
eaf61e92a4,"I`ve been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad.",neutral
f66c71e6f0,Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now),negative
d83fd6c942,3 tweeets {:    FGS tweekdeckkk hates me  -cryyyy,negative
a929174cdf,My back is soooooo hurting.,negative
19fa9c9eb4,_whacker skypeeeeee,neutral
23e6219d6a,Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative
d6a71d9781,"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral
00ac61c88a,Watching a movie with sam,neutral
e3208059a2,_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!,negative
8edb4a9f28,yeah it was face2face  nite we went to palisades to see star trek. i can`t remember it. i said it while we were in the car,neutral
7abf26ceee,1:36 AM screw it im going to bed... one love,neutral
9b2f1deeaa,My pleasure and sorry to hear about the pollen thing,neutral
3d309d0f6c,just watching hollyoaks omg,neutral
78c8a6bd73,"  Good morning, gents!  How are ya today?",neutral
1e89a9ac1a,Really! No even a little bit of #pane,neutral
5ba27f7ecc,"_x Hey 'Cameron', I know it was amazing and I have sunburn too  So my mum isn`t happy,, . & my throat kills . . Still <3 it",neutral
60c98b7cbe,so the beneath show got cancelled BUMMER! i guess i wont see you til cornerstone  who are you goign with?,negative
ec81a56849,That was like eight years ago. Not so sure it would happen now,neutral
e79ee39957,"aww, anyone see hollie steel on BGT tonight? wharra shame",negative
05edc8f85a,net .. net .. net ..  hmm. bad weather .. weird summer!,negative
2902a9d405,Is not looking forward to the LSAT,neutral
3977998aa5,Last 3 days of school....I`m sad but happy but anxious.....,neutral
60dc974997,this sucks schools over and there is nothing to do,negative
a32ab39ff6,totally! except we can`t ride on the sidewalk like when we were kids.  a lot more safe than on the road with crazy drivers.,neutral
09537c7a77,i have a headache,negative
f8e833863b,in media still havnet found ipod,neutral
e9d5ac3e2f,**** i got a **** of hw to do 2nite,negative
0a887ad3bc,Yao...broken foot...so much for that series  Denver`s next,negative
5270da20ff,Less or more iTunes tuned up,neutral
47ec7c77de,because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,negative
65539f18d2,"_spark heheh.  Odd though, I thought a couple of the others I`d done were better",neutral
4e1fc4b289," `erocka the ruler` i called you, but i see i gets the no love   whats up with that?",negative
2575e76393," If I knew it was gonna be this kind of party, I would`ve stuck my **** in the mashed potatoes!",negative
f2dfe2411a,"Iis working until 4 now and really wants geordanos thin crust cheese, black olives, peperoni and mushroom pizza",neutral
3d464c81c3,Listening to some house music!(what else?) I got a gig in San Francisco next Friday. BE THERE  details on my www.myspace.com/djspy,neutral
02874866a3,http://tinyurl.com/67sk5r Follow my blog and I`ll follow yours,neutral
2ab2bdfcb4,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,negative
f6e1c13d98,"Feeling so rough today, just want a cuddle and some sleep",negative
6239805511,Omg i`m so sad. I jus took in that gossip girl is done,negative
c797e813a3,It is sad... I feel bad when I hear it. They look like mid 30`s. It`s like something u wld see on lifetime,negative
50d1dfd0ba,"No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!",neutral
569a07134c,hey you! Did you get my present this morning? Hope u liked it?,neutral
e2bb0b25df,is terrible at saving money..,negative
5c07c9e0e0," Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time!",neutral
ac8976f564,GILF = grandmother.,neutral
31b08af9c0,i could have got you some from work and not paid more than R20 per 2l,neutral
162a353cf5,there it is. postieeee  http://andshehopes.blogspot.com/2009/05/kewpie.html,neutral
dbf367564f,up way too early for a sunday.. watching old episodes of grey`s,neutral
fa067e010a," No. As a result, the salary is a decrease",negative
759b899f29," yeah real hard, but I know you`ll get by with it... smile",neutral
bf6c374047,Wearing glasses gives me a headache.,negative
b725d6903f,what am l doing?? .....nothing much atm,neutral
471cc33194,i miss you!!  stupid work!,negative
a19f11d180,"trying to decide what to do tonight. Study Chem or write the night away. The night`s still young, perhaps I`ll do both",neutral
754a1b529c,I just see the video: 'All your base are belong to us..'  Whatï¿½s going on??!,neutral
f3d6df1119,is lets chat,neutral
bddfc3ed86,I woke up and my hiccups came back!,neutral
48d3265ed7," i`ll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all",neutral
8732e4522c,"Panda express, it`s been so long. I`ve missed you",negative
532af02150,Yeah I think I touched something that had mikes germs on it because I have a sore throat now  dammit I knew I should have not gone there!,negative
77d57de7c8,"Is going to attempt to cook chunky beef & mushroom pie tonight  mmm, i`m hungry already!",neutral
8e0a44102c," Not true, you can get worse burns today... don`t forget sunscreen",negative
4c1897aa51,"Ugh, still sick. This Calgary cold has lasted forever.",negative
5d56612b5e,is incredibly worried about Stanley...,negative
887cb446b4,"A bit early to confirm a trend, but daily site signups are still on the rise",neutral
21b0d23afc,Watching QI on Dave - still quite bored! Not even Adam Davis can cheer me up.  And he`s quite funny.,neutral
8225fc17a2,ya I just NEVER play it...I`m basically only using my PS3 these days,neutral
a65649ef36,_85 Aaaargh help -it`s a conspiracy LOL! How are you today Lizzi?,neutral
1e2d66dd72,types too fast for her own good. and has been craving pizza for 2+ wks. GAH i hate not having a job i want pizza!  lmaoz why me?!,neutral
ddd37d319b,"Back then I didn`t know why you were misunderstood. So now I see thru ur eyes, all that u did was love. Mama, I love you",neutral
8adbbd33e9,"http://twitpic.com/4wsxi   F3 w (demo) aero wheels. Louder, but they cut like a knife. U will hear me coming, passing on your left",neutral
0878fd9312,im sorry. I fail.,negative
27d5b9785b," always come up when we have the money least, it`s the rotten law of averages",negative
f7c7523fcd,Well done doing blood work..its hot out again,neutral
6213c6aa27,"your the voice i hear inside my head, the reason that i`m singing, i gotta find you, i need to find you",neutral
f643095ba3,Off to NC tonight until June 7th! I`m going to miss NYC   Getting ready for my 21st birthday Luau BBQ on JULY 11TH!!!!!!!!,negative
1567b3dfe5,"I know it wasn`t going to be there, but I check EZTV for The Office torrent...",neutral
ecd8a0d763,or least for the firmware upgrade. just buying some time until I get my tax return really,neutral
db5466d7e4,"P9 for Danica and your team... Not the end of the world, now is just hopes for a great race",neutral
1bc9a85ea5,everybody needs some time on thier own  Guns N Roses x ? http://blip.fm/~5z5kz,neutral
50442fcffb,Up early for class. ((Blahh))-------> Hang Over kiddies,neutral
a92db139c6,one of them is,neutral
60746afb7a,but mum just burned some bacon... smoke alarm`s a ****,neutral
55d9a5268e,I suppose it has a certain 80`s charm. I`d personally hold out for the motorola 8 track phone. I like my phones chunky,neutral
86519b9fb0,yeah that too,neutral
208211ca34," i wish i could offer a hug right now, so bad",negative
946f23739a,so sad emma  u sad to be leaving the show? ****,negative
f967bf59fb,Me too. I found out about it a little late and couldn`t afford it,negative
3aee2b7ff8,_cohen I am lost. Please help me find a good home.,neutral
9620f483d0,it was me the whole time I did a ton of things so u would believe me but u wouldn`t listen or let me prove it. Or blve me,negative
03e9eddd1f,I need a blankie  this trains an icebox,neutral
5a58d282a5,"Cleaning my roooooooooom, about to continue playing with my DSI",neutral
fa52ceb912,Major Fail. Since you asked,negative
552f2be123,The Good: I drank Jager and licked a hot asian girl`s foot. The Bad: I was reminded once again that I will never get asian girls ever.,neutral
ba89f20eea,"_zaboo its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand...  x",negative
c6bc70de5a,got really sad wen holly started crying   awwww bless,negative
822f5140fb,Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out,negative
7f0cdc1ac1,why doesnt he want me anymore,negative
3d40ab0786,praying the rosary with my family!,neutral
f815c3751c,you`re so far,neutral
1.92E+11,i feel extremely depressed right now.,negative
e058c9a356,there will be a session of #MoMoTLV at #iva09,neutral
1c76becc07,you traitor  whiskey and coke is my aphrodisiac,neutral
4b2cc01071,We need men to give their input too so I`ll fill u in on the time very soon,neutral
08bd94ccad,ME TOO UGH,neutral
2a49440dc7,trying to upload one thousand photos!!,neutral
9bdc160669," No, but I missed you",negative
5252524b59,I may have come down with something; we`re almost out of tissues!    this is not a good season  http://tinyurl.com/nccqya,negative
f3c7a9878b,listening to the online radio; oldies,neutral
6551c38d8d,oh yeah he IS!  .. you should see him when he REALLY gets going! LOL .. doesn`t care WHO doesn`t like it heheheheh GREAT!,neutral
a3c7a436dc,your not following me  it won`t let me dm,neutral
47990d2312,BRAINFREEZE,neutral
2984da4e4f,Just got my 3rd tattoo  owwwwwww lol,neutral
1597144665,Yeah it`s Friday but I have to work at 5am tomorrow  oh well going shopping afterwork,neutral
a7cf535d88,lip syncing 'im so excited' wit blairr then were gonna youtube it,neutral
6faba78e87,translation = complicated sh-t that someone is going to have to teach me,negative
a14c57c2aa,I thought I was the only one with the tags on the outside of my shirt,neutral
49d805b2bf,"[H]ouse starts on Sunday and I`m sad as I can`t afford Sky,",negative
adef5df171,Oh no,neutral
2ff7619ad7,"Pretty sure my laptop just died 100%. HP DV2000, wireless problems constantly, tons of heat, won`t start at all now. Fried circuit?",negative
235d69cca7,_princess69 hehehe! Barry Killer! U need a pic,neutral
236d5acf70,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn`t like us happy  haha,negative
0a9487d568,"Had to come in, was baking out there and have slight headache now",negative
9b4db3ba3f,I`m totally going to bed right now.,neutral
b3bda14ee3,i know its such a shame  i think they`ve got a good chance & i hope they do coz they are different aren`t they & great :]!,neutral
0a4cc4c868,"had to pause tv, now i`m 10 minutes behind on BGT",neutral
605da579d0,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,neutral
045b39af33,hanging out in myrtle beach as a married man,neutral
7626358ffc,i dont want to be home all by myself all weekend!!!!!!!!!       what should i do?,neutral
51242b88bf,(SINGZ) SO I THINK IM JST ABT DONE BEING UR GIRRRLFRIEND....IM LEAVIN....IM LEAVIN! JST LOVE CM!,neutral
5911afe689," Thanks hun! I`m wearing my new goldmine e/s and big false lashes, but it doesn`t show!",neutral
e7eecffdc8,rec game....trying not to cry...the pain is to much..i need him...can`t lose him </3...my heart is breakingg,negative
912b09fd87," Tom, get ready, here in Porto Alegre is really cold",neutral
c7c16d8ee4,"RE: So, finally finished catching up with your blog - no mention of any wedding details...  Do tell, at some point.  http://disq.us/11w",neutral
a65f280f9d,arrgghhhggguuuiiissshhhh no idea what to do for this modern assignement....  Burma or Cuba???? eeeep help!,negative
856bbcf3fd,i think  missed me tooo,negative
5ed29cdd2a,Its cloudy outside,neutral
8cd4ccab2b,is having headache and colds...,negative
6ad26f4e0d,Aww I heard I just missed you two  &  !,negative
75293e6d71,"wow, 5 pm rolled around really fast. I accomplished only one thing on my to do list today...",negative
c29d535afd,finally having my cup of coffee!!!,neutral
3dec4e2d97,ohyeahhh  hate the heat!  http://twitpic.com/665a2,negative
80ff73ec4b,Im at work!,neutral
c62bc1aa71,Omg I can`t believe jay leno is going off the air,neutral
ccf23937ad,No mine looks the same.,neutral
5386764f06,_violence heyyyy babyy,negative
25b4431076,http://twitpic.com/66q88 - So....I don`t have a PE  but I do have a Pocket Artoo!,neutral
171b4de425,graduates college on saturday,neutral
aeba57e3f0," babe  ive been aight, urselff?",neutral
6712b0174e,I want a new lappy,neutral
fd756d4288," to be fair, she was asking about mktg cd`s, etc, but I suggested more and she never even emailed back.",negative
7cf5fac953,It`s teacher appreciation week - been out making deliveries to instructors this morning,neutral
b3e4ffd2cb,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!",negative
4c79778cf7,....what? i just copyed some other chicks reply and wrote it as my own,neutral
f7d49948f0,hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me,negative
46c3c562ce,My long lost friend!,negative
0e094f77c9,"wants to move to QLD already, this cold weather is killing me",negative
98c3ac867c,"OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates",negative
e48295fae4,I`ll also have to fix that in iTunes when blip.tv changes the URL since that`s part of the RSS feed,neutral
bfe2aef006,leaving now  dont miss me too much tweetbeaks <3,negative
989c52ac8d,Waaaa. I ran my machine problem! Yeah!,neutral
8b648c6715,so tired from school and work. shower than neighboures.,negative
bb14bcd3bb,good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,neutral
48dfd91acb,yearling in pet home died... very sad for their whole family,negative
e09aac5e8e," TV is shite,thank god for youtube",neutral
83c3c717ed,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,negative
2277651477,"_cheryl Lucky, now I want to teleport",neutral
de3ca8af2a,i have the song here comes goodbye stuck in my head not a good song to be singing considering my situation,negative
071d00752c,You are doing the right thing though.  A fridge is where vegetables go to die,neutral
c2a93d7e59,"  Lets change this S0ulja B0y te|| em trending topic to, 'Soulja  Girl Told em'",neutral
fa0813c599,Waiting to put my story about Stereo Skyline up. Don`t know where to put it. BOOOO,neutral
6ebb2f43f0,#twitterfails **** hard right now...this is annoying,negative
3671f267dc,I WANNA GO.,neutral
a805b49cff,Off to bed .. Nighty night everyone,neutral
dffc4c62e1,dont wanna cry  but the seniors are out there graduating&its breakin my heart;but im home,negative
2c48f5c3b5,I could have! I had extra tickets. Plus we had two Twitter Giveaways  We`ll get you next time.,neutral
420d46f643,It`s starting to look like the  website may not happen in any form,negative
90469c762f,watching 'That Thing You Do' on Comcast. Missing my boo like crrrrrazy!,negative
0714fbb82f,Work time....,neutral
241ece149d,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",negative
95fe7c81b9,"I was just watching some cartoons as I haven`t in years when I was eating my breakfast, the programs have changed",neutral
c4948d575c,yay new computer to fiddle about with,neutral
4ff8b3efb4,I can`t  has blocked me.  I can`t even request,negative
1339f585ea,sooo long twitters! I`m off to Cuba,neutral
de79cc363c,I had bad net issues on Weds so couldn`t broadcast  Am on tonight tho... tune in for new anthems and bad mixing!,negative
212b7233bd,bif doesn`t come down far enough south for me,neutral
1ba3590d9b,i should have run today  but i let my slight aches be a bad excuse    i`ll make it up tomorrow go 5.5,negative
bf6db751ef,Evaluating my people...Dont like this part of the job,negative
fcc45b5d05,_girl - Bummer...mail came but package didn`t,negative
fb4b29022f,Watching an episode of Friends during the lunch break,neutral
d0d220f225,awww NO. you`re not ugly.,neutral
4e9bfd0b0d,Well there`s nothing to do but to keep swimming. You`ll get there eventually,neutral
5e5884b4a6,Not been on for a while eh Barry lol.Tweet deck is like prehistoric lol,neutral
21560548c9,Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,neutral
162f9745bd,thought u said twitter was **** bellion?,negative
31155fb47b,_Songs I know  Especially since the summer is such a boring TV time to begin with.,negative
d5fb1e0457,Chino - Gentleman Jack is pouting because Mommy is gone to dinner.  http://apps.facebook.com/dogbook/profile/view/6891977,neutral
0f38937a7d," ****! First Yes, than Frank Zappa...",neutral
669ee0e843," I can`t do that.  I take it at 11, or I work through it.  Those are my options here.",neutral
2bc462bcc3," hahahaha nice. i gave up on bio cos idk what the hell i`m doing, so hello chem",negative
63975d7559,i feel like tweeting you for no reason. so um hiiiiii.,negative
131557597,"Truck has bit the dust, don`t know if I`ll make the Mustangs game tomorrow",negative
35720a5a52,Seeing lots of my FB friends are friending or becoming fans of Zoozoo (Voda`s new face after the pug). Even iLike,neutral
4cfae4e121,"_Kimbalicious Lol! I was just walking  I think its all the polish I used while cleaning earlier, its made the floor slippery!",neutral
876afc9158,mum is driving me and the Eric out to jt for the night.,neutral
397392f0d9,WORD!!!!!,neutral
3d2a23d9b8,Hugh Masekela pix online + Contern - T71 pix + review @ http://clada.lu -> coming up next Naturally7 Concert this evening,neutral
a008d44b99,u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,neutral
cd486e8e56,Just booked some tickets for Jessicaaaa.,neutral
12c60311f1," ****, for reals? wtf",negative
5bbbcbb058,_mazur Hahaha...and I who actually thought you just were popular!,neutral
27953f5a47,I`m glad I don`t have class on Fridays. I need the break! Algebra test on Wednesday,neutral
5931a8cc5e," Hey OJ, I just want to ask, you hooked up with somebody ayt now?",neutral
bee34618df,Last night in Chicago!  Making it one for the record books. Wrigley most likely? See you there?!,neutral
f1f5e8edfa,I Miss Daddy and Mommy,negative
bb06dd1005,PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here),neutral
63ed0e0e5e,"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",neutral
144fe57db1,That`s more like it - 3rd  #fb,neutral
7a09d6405f," no juice here, I didntb even let him use my computer.",neutral
0d472addb7,Swine Flu victims unite  http://oinkflu.info,negative
e240ad6f2f,nothings really going *well*...however currently theres nothing else to look forward to so may aswel make the best of it,neutral
cdd38b0dd0,Tempted to buy MAC at ACW....even though I don`t need anything....but I want to try dazzleglasses,neutral
b3946d49b7,"Anybody out there having a beer right now? I hate drinking alone. Mrs T is oot  On the other hand, Mrs T is oot",negative
6bd915d116,transferring 368558682 photos is annoying.. I want to watch Up,negative
d12148ecc8,I need a wardrobe intervention,neutral
f07134f634,I wanna get an FF tweet too,neutral
d12e0058a9," july 8th flight gets in, my mate here is on about goin hm early so am all",neutral
9afdbae4f5,Maaan if I was in pain I`d come. I wanna come  eat some 4 me lol *rolls eyes*,negative
a2b100a231,FML still awake  melatonin not working!,negative
a709c4ffd4,I ran outta bathroom passes.  maybe mrs. French will be nice today?,neutral
8ce2a8cb25," I work in a room in the middle of the office, thus no windows. We call it the programmer cave, I  can only imagine the sky.",neutral
eb10334130,Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick,negative
44ae243052,_Nessiah Yeah I will  In fifteen minutes or so.,neutral
f8f1aa0bf9,no.  I lost the link you sent when I had to pull my battery.,negative
e27078eb14,I JUS FOUND MY I.D. FINALLY ; IT WAS IN THE LINT THINGY IN THE DRYER LOL ITS ALL BENT OUTTA SHAPE NOW  IM MAD,negative
6cc4fd149f,uploading new videos on youuuchuuub!,neutral
4b14c1d212,Cleaning time soon,neutral
7076b06c05,"could barely sleep last night, ugh...ANYWAYS good luck with finals everybody!!! don`t rush through your tests!!! lol",neutral
fb52691582,sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,neutral
a9f5a7ec14,gotta check with the bro on that...and mine is a girl,neutral
25ddc5bea5,ruilen?,neutral
b72923f620,You`ve got to love fly tippers: http://tinyurl.com/mt4opc  Worst I`ve seen is a dead mule dumped on Holmbury Hill.,neutral
b084848bea,_gutter Trent wore that shirt at my show,neutral
35c63b8c01,i just had the weirdest dream ever and can`t see because owi credo is too brighi. But i hate guys,negative
201ca6383d,Quaver Sandwiches  and tea.,neutral
bb51d30a08,Finally off work...long night.  Hangin with,neutral
2ba019a42f," iam eating pizza, want some??? haha..",neutral
4d2e0f9522,"And the city I love, Tucson, is the 18th most miserable  http://bit.ly/k3Gmw",neutral
125249886e,Father is staying home and conference calling. Sorry,negative
2cb4cd7698,lay by the pool and take a nap. my agenda for the day,neutral
61e1765532,"Ugh my neck really hurts  I`m out aquatards, xox",negative
4b8cb4449b,Im fine also..up way to early..lol...soo those r all ur dogs? to kut3 ..i def want a pit! lol,neutral
1a9693441d,i havent seen you all week,neutral
0a75a593b2,im watching tv at home wishing i could get a chicken shish delivered but not go enough pennies,neutral
3f055b7003,it`s Friday here in Chicago...and I`m stuck @ home AGH I`M BORED!!! grr!,negative
208cb66bdd," Crab boat? I have my mobile set to go off every night, to remind me to head to bed",neutral
0da090c332,"michael scofiled Noooooo !!  I hate the writer, director n production",negative
ea59c43f43,They gave me a regular coke instead of diet. Really??,neutral
d072014323,sorry mo. we thought that u have to work tomorrow  we go to the casino together too :?),negative
1f67d1758e,Anybody to have good tips for budget lodging in Tokyo?,neutral
e546548dc7,_benson It`s raining where I am. I wish it wasn`t.,neutral
5aa22cf450,yeah I guess so  it makes me very sad though becase the disc is scratched!,negative
cb2f97dc53,is having this massive headache! and all i want to do is eat some nachos..,negative
19af686703,_what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,neutral
99b69572a8,im cold  i still cant find my hoodie,negative
7cea01459c,really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,neutral
0abea516e5," I`m running out of things to say, and I`m starting to think you`ll hate me for flooding your inbox with 'Philippines tour?'",negative
21ace14664,last night in cork  and come tomorrow i wont even remember it... double sad face  haha... in the words on lily allen.. NOT FAIR!,negative
14361c7dc0,you should add your blog to CMF Ads,neutral
ed42478ca3,Rejecting all food substances.,negative
ee5eb5337b,"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",negative
794717e6f5,Is George still mending the car ?,neutral
5a913fb61d,i don`t understand the whole follow friday thing?,negative
f3a5d47d09,Chick at coles hit on me. Haha Ran into cousin,neutral
04c563f43b,i was screaming like a maniac!  But the thing was u couldn`t scream on the ride which sucked the fun out of everything so...,negative
533b05f261," I know, they`re ****. I am trying to sort out my portfolio and I don`t know what to put in it!",negative
1aec758353,i cannot sleep due to watching UKTV food. its keeps my cravings at bay. i think my bodies guna ache tomro,negative
a7c0f6c451,is working 4 to close,neutral
3a2c407f74,how come when i straighten my hair it has to sprinkle,neutral
7765613f7c,Excited! Double Bio today.   I don`t have a straightener and my hair looks horrendous at the moment. Wtf am I supposed to do?,neutral
2a781b7114,cleaning and packing,neutral
866c7a6b68,I`m really mad at the world today. Today is just a sucky day.,negative
