textID,preprocessed_text,Length_of_Preprocessed_Text,class
71640c7482,put pot eggs stove boil forgot remembered min late wonder still good,12,0
ba3b1d6795,going somewhat town visitng uncle boyet famm,7,0
9624b0b500,layin bed awake txtin girl vegas wishin not work,9,1
ba83f744d8,know neck jacked forced pay parking not turn head parallel park free spaces,13,1
243f4fafc5,user experience roundtable hamburg detlev fischer accessibility bitv test https www xing com events not miss,16,0
6e7e59bcd9,drinkin chai tea not sleeping checkin cool peeps,8,0
2f4bfc3df1,irregularly half assedly working essay saying half assedly really mean not words not even open,15,0
38a591c5ba,left comment blog post,4,0
ef972f66ed,yes feel still got lots boxes fun though got new place yesterday,12,0
3270dde3b1,broke laptop,2,0
fec2be691c,star reviews canada least talk like canadian incident,8,0
0d450d9607,wanna see mama not called back yet mama mama,9,1
7002f9a75a,diego know ame jack,4,0
3592d43e3d,moving makes sore dunno gonna make getting close,8,1
13db91abcb,not feeling well today ugh cant home,7,1
b3aa4e4195,big vanessa going september going fast hard cuz workin much miss alot,12,1
9870d532a6,gone ears home plenty painting well,6,0
187d8df080,would not call cool dangerous reckon fits stupid category,9,1
81828d16cc,drs beverly hills doctor scare,5,1
eaf61e92a4,rome italy love elegance style difficult live chicago elegance sad,10,0
f66c71e6f0,problems blackberry ugh need another charged battery least,8,1
d83fd6c942,tweeets fgs tweekdeckkk hates cryyyy,5,1
a929174cdf,back soooooo hurting,3,1
19fa9c9eb4,whacker skypeeeeee,2,0
23e6219d6a,zach gets extensive profile weekend times magazine chances falling love getting few few,13,1
d6a71d9781,jonas awesome watched groovy movies frankie weird lol,8,0
00ac61c88a,watching movie sam,3,0
e3208059a2,lpz yeah text wnat car broken,6,1
8edb4a9f28,yeah face face nite went palisades see star trek not remember said car,13,0
7abf26ceee,screw going bed one love,5,0
9b2f1deeaa,pleasure sorry hear pollen thing,5,0
3d309d0f6c,watching hollyoaks omg,3,0
78c8a6bd73,good morning gents today,4,0
1e89a9ac1a,really even little bit pane,5,0
5ba27f7ecc,hey cameron know amazing sunburn mum not happy throat kills still,11,0
60c98b7cbe,beneath show got cancelled bummer guess wont see til cornerstone goign,11,1
ec81a56849,like eight years ago not sure would happen,8,0
e79ee39957,aww anyone see hollie steel bgt tonight wharra shame,9,1
05edc8f85a,net net net hmm bad weather weird summer,8,1
2902a9d405,not looking forward lsat,4,0
3977998aa5,last days school sad happy anxious,6,0
60dc974997,sucks schools nothing,3,1
a32ab39ff6,totally except not ride sidewalk like kids lot safe road crazy drivers,12,0
09537c7a77,headache,1,1
f8e833863b,media still havnet found ipod,5,0
e9d5ac3e2f,got nite,2,1
0a887ad3bc,yao broken foot much series denver next,7,1
5270da20ff,less itunes tuned,3,0
47ec7c77de,lost first field notes notebook pages filling rip fieldnotes,9,1
65539f18d2,spark heheh odd though thought couple others would done good,10,0
4e1fc4b289,erocka ruler called see gets love whats,7,1
2575e76393,knew gonna kind party would stuck mashed potatoes,8,1
f2dfe2411a,iis working really wants geordanos thin crust cheese black olives peperoni mushroom pizza,13,0
3d464c81c3,listening house music else got gig san francisco next friday details www myspace com djspy,15,0
02874866a3,http tinyurl com follow blog follow,6,0
2ab2bdfcb4,lol tank dps friend problem different guild wtf wrong server,10,1
f6e1c13d98,feeling rough today want cuddle sleep,6,1
6239805511,omg sad jus took gossip girl done,7,1
c797e813a3,sad feel bad hear look like mid like something wld see lifetime,12,1
50d1dfd0ba,running past couple days due bad knee still guitar hero metallica arrived kept amused time rock,16,0
569a07134c,hey get present morning hope liked,6,0
e2bb0b25df,terrible saving money,3,1
5c07c9e0e0,sorry cat worries blankets wondering rush take time,8,0
ac8976f564,gilf grandmother,2,0
31b08af9c0,could got work not paid per,6,0
162a353cf5,postieeee http andshehopes blogspot com kewpie html,7,0
dbf367564f,way early sunday watching old episodes grey,7,0
fa067e010a,result salary decrease,3,1
759b899f29,yeah real hard know get smile,6,0
bf6c374047,wearing glasses gives headache,4,1
b725d6903f,nothing much atm,3,0
471cc33194,miss stupid work,3,1
a19f11d180,trying decide tonight study chem write night away night still young perhaps,12,0
754a1b529c,see video base belong going,5,0
f3d6df1119,lets chat,2,0
bddfc3ed86,woke hiccups came back,4,0
48d3265ed7,back late today got plenty gold willing help need anything,10,0
8732e4522c,panda express long missed,4,1
532af02150,yeah think touched something mikes germs sore throat dammit knew not gone,12,1
77d57de7c8,going attempt cook chunky beef mushroom pie tonight mmm hungry already,11,0
8e0a44102c,not true get bad burns today not forget sunscreen,9,1
4c1897aa51,ugh still sick calgary cold lasted forever,7,1
5d56612b5e,incredibly worried stanley,3,1
887cb446b4,bit early confirm trend daily site signups still rise,9,0
21b0d23afc,watching dave still quite bored not even adam davis cheer quite funny,12,0
8225fc17a2,never play basically using days,5,0
a65649ef36,aaaargh help conspiracy lol today lizzi,6,0
1e2d66dd72,types fast good craving pizza wks gah hate not job want pizza lmaoz,13,0
ddd37d319b,back not know misunderstood see thru eyes love mama love,10,0
8adbbd33e9,http twitpic com wsxi demo aero wheels loud cut like knife hear coming passing left,15,0
0878fd9312,sorry fail,2,1
27d5b9785b,always come money least rotten law averages,7,1
f7c7523fcd,well done blood work hot,5,0
6213c6aa27,voice hear inside head reason singing gotta find need find,10,0
f643095ba3,tonight june going miss nyc getting ready birthday luau bbq july,11,1
1567b3dfe5,know not going check eztv office torrent,7,0
ecd8a0d763,least firmware upgrade buying time get tax return really,9,0
db5466d7e4,danica team not end world hopes great race,8,0
1bc9a85ea5,everybody needs time thier guns roses http blip,8,0
50442fcffb,early class blahh hang kiddies,5,0
a92db139c6,one,1,0
60746afb7a,mum burned bacon smoke alarm,5,0
55d9a5268e,suppose certain charm would personally hold motorola track phone like phones chunky,12,0
86519b9fb0,yeah,1,0
208211ca34,wish could offer hug right bad,6,1
946f23739a,sad emma sad leaving show,5,1
f967bf59fb,found little late could not afford,6,1
3aee2b7ff8,cohen lost please help find good home,7,0
9620f483d0,whole time ton things would believe would not listen let prove blve,12,1
03e9eddd1f,need blankie trains icebox,4,0
5a58d282a5,cleaning roooooooooom continue playing dsi,5,0
fa52ceb912,major fail since asked,4,1
552f2be123,good drank jager licked hot asian girl foot bad reminded never get asian girls ever,15,0
ba89f20eea,zaboo hurts abit thought good job rude people could understand,10,1
c6bc70de5a,got really sad wen holly started crying awwww bless,9,1
822f5140fb,neither could looked ebay like euro two doubt parents would fork amount,12,1
7f0cdc1ac1,doesnt want anymore,3,1
3d40ab0786,praying rosary family,3,0
f815c3751c,far,1,0
1.92E+11,feel extremely depressed right,4,1
e058c9a356,session momotlv iva,3,0
1c76becc07,traitor whiskey coke aphrodisiac,4,0
4b2cc01071,need men give input fill time soon,7,0
08bd94ccad,ugh,1,0
2a49440dc7,trying upload one thousand photos,5,0
9bdc160669,missed,1,1
5252524b59,may come something almost tissues not good season http tinyurl com nccqya,12,1
f3c7a9878b,listening online radio oldies,4,0
6551c38d8d,yeah see really gets going lol not care not like heheheheh great,12,0
a3c7a436dc,not following not let,4,0
47990d2312,brainfreeze,1,0
2984da4e4f,got tattoo owwwwwww lol,4,0
1597144665,yeah friday work tomorrow well going shopping afterwork,8,0
a7cf535d88,lip syncing excited wit blairr gonna youtube,7,0
6faba78e87,translation complicated someone going teach,5,1
a14c57c2aa,thought one tags outside shirt,5,0
49d805b2bf,ouse starts sunday sad not afford sky,7,1
2ff7619ad7,pretty sure laptop died wireless problems constantly tons heat not start fried circuit,13,1
235d69cca7,princess hehehe barry killer need pic,6,0
236d5acf70,even though everyone wanted newish song teacher agreed old grumpy not like happy haha,14,1
0a9487d568,come baking slight headache,4,1
9b4db3ba3f,totally going bed right,4,0
b3bda14ee3,know shame think got good chance hope coz different not great,11,0
0a4cc4c868,pause minutes behind bgt,4,0
605da579d0,math class waiting lunchhhhhhhh seniors done fifteen minutes,8,0
045b39af33,hanging myrtle beach married man,5,0
7626358ffc,dont want home weekend,4,0
51242b88bf,singz think jst abt done girrrlfriend leavin leavin jst love,10,0
5911afe689,thanks hun wearing new goldmine big false lashes not show,10,0
e7eecffdc8,rec game trying not cry pain much need not lose heart breakingg,12,1
912b09fd87,tom get ready porto alegre really cold,7,0
c7c16d8ee4,finally finished catching blog mention wedding details tell point http disq,11,0
a65f280f9d,arrgghhhggguuuiiissshhhh idea modern assignement burma cuba eeeep help,8,1
856bbcf3fd,think missed tooo,3,1
5ed29cdd2a,cloudy outside,2,0
8cd4ccab2b,headache colds,2,1
6ad26f4e0d,aww heard missed two,4,1
75293e6d71,wow rolled around really fast accomplished one thing list today,10,1
c29d535afd,finally cup coffee,3,0
3dec4e2d97,ohyeahhh hate heat http twitpic com,6,1
80ff73ec4b,work,1,0
c62bc1aa71,omg not believe jay leno going air,7,0
ccf23937ad,mine looks,2,0
5386764f06,violence heyyyy babyy,3,1
25b4431076,http twitpic com not pocket artoo,6,0
171b4de425,graduates college saturday,3,0
aeba57e3f0,babe ive aight urselff,4,0
6712b0174e,want new lappy,3,0
fd756d4288,fair asking mktg etc suggested never even emailed back,9,1
7cf5fac953,teacher appreciation week making deliveries instructors morning,7,0
b3e4ffd2cb,feeling really sick watching fifth element smoke cigg ugh hate colds,11,1
4c79778cf7,copyed chicks reply wrote,4,0
f7d49948f0,hates not able see monitor minutes sun not blinding,9,1
46c3c562ce,long lost friend,3,1
0e094f77c9,wants move qld already cold weather killing,7,1
98c3ac867c,omg missed bus walking miles coffee went see classmates,9,1
e48295fae4,also fix itunes blip changes url since part rss feed,10,0
bfe2aef006,leaving dont miss much tweetbeaks,5,1
989c52ac8d,waaaa ran machine problem yeah,5,0
8b648c6715,tired school work shower neighboures,5,1
bb14bcd3bb,good times haha ily christian gonna watch dazed confused also first time watching lame,14,0
48dfd91acb,yearling pet home died sad whole family,7,1
e09aac5e8e,shite thank god youtube,4,0
83c3c717ed,ever come across something reminds alot one person completely broke heart cause,12,1
2277651477,cheryl lucky want teleport,4,0
de3ca8af2a,song comes goodbye stuck head not good song singing considering situation,11,1
071d00752c,right thing though fridge vegetables die,6,0
c2a93d7e59,lets change ulja trending topic soulja girl told,8,0
fa0813c599,waiting put story stereo skyline not know put boooo,9,0
6ebb2f43f0,twitterfails hard right annoying,4,1
3671f267dc,wanna,1,0
a805b49cff,bed nighty night everyone,4,0
dffc4c62e1,dont wanna cry seniors graduating breakin heart home,8,1
2c48f5c3b5,could extra tickets plus two twitter giveaways get next time,10,0
420d46f643,starting look like website may not happen form,8,1
90469c762f,watching thing comcast missing boo like crrrrrazy,7,1
0714fbb82f,work time,2,0
241ece149d,planning trying call doctor though not going well mostly planning,10,1
95fe7c81b9,watching cartoons not years eating breakfast programs changed,8,0
c4948d575c,yay new computer fiddle,4,0
4ff8b3efb4,not blocked not even request,5,1
1339f585ea,sooo long twitters cuba,4,0
de79cc363c,bad net issues weds could not broadcast tonight tho tune new anthems bad mixing,14,1
212b7233bd,bif not come far enough south,6,0
1ba3590d9b,run today let slight aches bad excuse make tomorrow,9,1
bf6db751ef,evaluating people dont like part job,6,1
fcc45b5d05,girl bummer mail came package not,6,1
fb4b29022f,watching episode friends lunch break,5,0
d0d220f225,awww not ugly,3,0
4e9bfd0b0d,well nothing keep swimming get eventually,6,0
5e5884b4a6,not barry lol tweet deck like prehistoric lol,8,0
21560548c9,sorry hear laptop troubles hope get fixed lappy back norm,10,0
162f9745bd,thought said twitter bellion,4,1
31155fb47b,songs know especially since summer boring time begin,8,1
d5fb1e0457,chino gentleman jack pouting mommy gone dinner http apps facebook com dogbook profile view,14,0
0f38937a7d,first yes frank zappa,4,0
669ee0e843,not take work options,4,0
2bc462bcc3,hahahaha nice gave bio cos idk hell hello chem,9,1
63975d7559,feel like tweeting reason hiiiiii,5,1
131557597,truck bit dust not know make mustangs game tomorrow,9,1
35720a5a52,seeing lots friends friending becoming fans zoozoo voda new face pug even ilike,13,0
4cfae4e121,kimbalicious lol walking think polish used cleaning early made floor slippery,11,0
876afc9158,mum driving eric night,4,0
397392f0d9,word,1,0
3d2a23d9b8,hugh masekela pix online contern pix review http clada coming next naturally concert evening,14,0
a008d44b99,ever friend wonder friends know get questioning getting,8,0
cd486e8e56,booked tickets jessicaaaa,3,0
12c60311f1,reals wtf,2,1
5bbbcbb058,mazur hahaha actually thought popular,5,0
27953f5a47,glad not class fridays need break algebra test wednesday,9,0
5931a8cc5e,hey want ask hooked somebody ayt,6,0
bee34618df,last night chicago making one record books wrigley likely see,10,0
f1f5e8edfa,miss daddy mommy,3,1
bb06dd1005,please make livechat saturday cus school weekdays,7,0
63ed0e0e5e,peek mkay tell msn bfgurelgbsr yeah guess not know like wait till get opinion,14,0
144fe57db1,like,1,0
7a09d6405f,juice didntb even let use computer,6,0
0d472addb7,swine flu victims unite http oinkflu info,7,1
e240ad6f2f,nothings really going well however currently theres nothing else look forward may aswel make best,15,0
cdd38b0dd0,tempted buy mac acw even though not need anything want try dazzleglasses,12,0
b3946d49b7,anybody beer right hate drinking alone mrs oot hand mrs oot,11,1
6bd915d116,transferring photos annoying want watch,5,1
d12148ecc8,need wardrobe intervention,3,0
f07134f634,wanna get tweet,3,0
d12e0058a9,july flight gets mate goin early,6,0
9afdbae4f5,maaan pain would come wanna come eat lol rolls eyes,10,1
a2b100a231,fml still awake melatonin not working,6,1
a709c4ffd4,ran outta bathroom passes maybe mrs french nice today,9,0
8ce2a8cb25,work room middle office thus windows call programmer cave imagine sky,11,0
eb10334130,last night bottle wine house cocktails came home sober still gonna sick,12,1
44ae243052,nessiah yeah fifteen minutes,4,0
f8f1aa0bf9,lost link sent pull battery,5,1
e27078eb14,jus found finally lint thingy dry lol bent outta shape mad,11,1
6cc4fd149f,uploading new videos youuuchuuub,4,0
4b14c1d212,cleaning time soon,3,0
7076b06c05,could barely sleep last night ugh anyways good luck finals everybody not rush tests lol,15,0
fb52691582,sorry missed post early edinburgh biased towards awesomeness glad enjoyed visit,11,0
a9f5a7ec14,gotta check bro mine girl,5,0
25ddc5bea5,ruilen,1,0
b72923f620,got love fly tippers http tinyurl com opc bad seen dead mule dumped holmbury hill,15,0
b084848bea,gutter trent wore shirt show,5,0
35c63b8c01,weird dream ever not see owi credo brighi hate guys,10,1
201ca6383d,quaver sandwiches tea,3,0
bb51d30a08,finally work long night hangin,5,0
2ba019a42f,iam eating pizza want haha,5,0
4d2e0f9522,city love tucson miserable http bit gmw,7,0
125249886e,father staying home conference calling sorry,6,1
2cb4cd7698,lay pool take nap agenda day,6,0
61e1765532,ugh neck really hurts aquatards xox,6,1
4b8cb4449b,fine also way early lol soo dogs kut def want pit lol,12,0
1a9693441d,havent seen week,3,0
0a75a593b2,watching home wishing could get chicken shish delivered not enough pennies,11,0
3f055b7003,friday chicago stuck home agh bored grr,7,1
208cb66bdd,crab boat mobile set every night remind head bed,9,0
0da090c332,michael scofiled noooooo hate writer director production,7,1
ea59c43f43,gave regular coke instead diet really,6,0
d072014323,sorry thought work tomorrow casino together,6,1
1f67d1758e,anybody good tips budget lodging tokyo,6,0
e546548dc7,benson raining wish not,4,0
5aa22cf450,yeah guess makes sad though becase disc scratched,8,1
cb2f97dc53,massive headache want eat nachos,5,1
19af686703,let guess skipped sports bought new pinkish outfit,8,0
99b69572a8,cold still cant find hoodie,5,1
7cea01459c,really rather drunk drunk thoughts getting work tomorrow loz alive gandhi read comic books never know,16,0
0abea516e5,running things say starting think hate flooding inbox philippines tour,10,1
21ace14664,last night cork come tomorrow wont even remember double sad face haha words lily allen not fair,17,1
14361c7dc0,add blog cmf ads,4,0
ed42478ca3,rejecting food substances,3,1
ee5eb5337b,heading gym group guys used quit well except brandon makes terribly sad,12,1
794717e6f5,george still mending car,4,0
5a913fb61d,not understand whole follow friday thing,6,1
f3a5d47d09,chick coles hit haha ran cousin,6,0
04c563f43b,screaming like maniac thing could not scream ride sucked fun everything,11,1
533b05f261,know trying sort portfolio not know put,7,1
1aec758353,cannot sleep due watching uktv food keeps cravings bay think bodies guna ache tomro,14,1
a7c0f6c451,working close,2,0
3a2c407f74,come straighten hair sprinkle,4,0
7765613f7c,excited double bio today not straightener hair looks horrendous moment wtf supposed,12,0
2a781b7114,cleaning packing,2,0
866c7a6b68,really mad world today today sucky day,7,1
01ce5f884e,not going another fatty like hopefully ill see cali days hes not upset,13,0
795d2ec684,meeting lincoln square bummer free parking,6,1
ffd9503b5c,starting alex whole week going spending money dont,8,0
d4b909a8db,painted nails metallic blue really sure looks pretty weird color think cool,12,0
535cf4afd1,ughhh tummy ache,3,1
30c38fa0da,sweet englands becoming lame lame since guys left,8,0
a36f2a5b64,not like sick guidance counsellor supposed take kids school bowling pizza,11,1
6721e006ff,veryyy upset cant hacienda tonight stupid nuggets game,8,1
18628be7b7,sanctuarysunday yay sanctuary may watch requiem breakfast,7,0
50f4d5fd7d,paradise fly catchers abandoned nest starting gonna tough,8,1
2ef17bd974,sorry dunners saw tweet totally let sorry babe work till boooooo,11,1
f070621511,omg didnt even know friend knew lol small world,9,0
c28465b668,google show apples want see images green http tinyurl com clrbau cool,12,0
e3b9593fe8,verse blazing mbps not anything download though,7,0
0039c7e4a4,gonna irish wedding,3,0
cde06ba878,shep nope really want play aswell,6,0
f7beb13214,itttt,1,0
d4a79cd36a,lost voice,2,1
5e447212d2,inclined think stupid,3,1
ab8c54c783,not ditchin barfin sorry guys esotsm,6,1
6c43ac45a7,going visit sister today grumpy chill home family visit tomorrow,10,0
ef99cbb940,wait read wrong hellboy,4,0
74d3120b7f,yay proud not even sarcastic even though told shut,9,0
c2ada5b889,got cable set win got lock put door win feeling tad neglected fail,13,0
dd9a08a95a,cant sleeeeep miss long hairrr,5,1
17fb6a1dae,big sugar yet another bandwagon late get next bnl reunite kind like odds,13,0
e451a269d0,right,1,0
c31e69a36d,nooooooooo goes weekend,3,0
6a1d797fba,dont get car back til monday boooo,7,0
0a2d80b493,supposed back sun via private jet btw mite hav stay bymyself thnk god another week want bruno,17,0
cfa474e4f6,going miss miss suhana,4,1
1969b0c0d6,soooo hungry right not lunch time,6,1
78957c7648,jes yay congrats afraid check grades,6,0
a60c4c4c6c,checkin oramarecords com got fever cnt sleep,7,1
8a634ceeb5,awwwww sorry,2,1
50478b34e4,know already week behind try get one done today called work hrs early due problems busy day,17,1
5da55949f3,bummed gonna minutes sunday not come hear,7,1
285dc95b4c,bed tha nerve call blackberry askin hell looks like gotta hours nap,12,1
7972133a6e,whole day,2,0
69640a2027,trying watch lost online annoying slow internet not lost,9,1
e844d51a56,game starts min,3,1
3208302fde,gonna miss gurl shes honeymoon,5,1
434ad2efd0,iced coffee christ tasted nasty,5,1
c463d96db2,dangling belly rings bad investment cut ones always pop,9,0
0b70100a5c,jolly good last night,4,0
9dd75c29e2,time biggie,2,0
2dff366260,going shawnee hate long drive want get paper work,9,1
4b3fd4ec22,last day dma million sad faces,6,1
a76a481571,walnut high school prom becca,5,0
3a9ae63e38,kaelah feel bad sounds serious please get good soon admire still working hard stuff,14,0
a1b60d42ef,grrh wii remote dead multiplayer tonight,6,1
47b03a2c4d,something say one listening,4,1
b6e75fc4df,found friend dad passed away yesterday,6,1
41af60f029,ahahaha happens time poor angela,5,1
215ba6dbfb,yeah wanted say yourname section bit tricky way find replies tho,11,0
0ee485322b,goodnight twitterville really enjoyed pearl harbor sleep cuddle hot man good dreams tonight xoxo,14,0
662a18f212,classics timeless dont believe check youtube google etc numbers dont lie actually performed last night,15,0
16466ee641,man would fresh,3,0
fa14103466,jealous pouring right,3,1
ca9df3b99e,sadness air school got two awards,6,0
66a3b2a036,swollen face,2,1
a6d3f0acb3,realized fantastic nerdfriends long live rochester,6,0
1c08943537,tired not right get early,5,1
5250e01ce0,woke fell back sleep woke back sleep woke staying awake morning,11,0
5c326d72a3,not feeling good,3,1
83229c2a8a,foster see look icons themes btw,6,0
15256adda7,waiting get back nambu stopped working,6,0
c79e8c6f71,besties twitpic http twitpic com hac besties http twitpic com hac,11,0
f9da489452,also believe things meant happen,5,0
38db7593eb,absolutely nothing eat house epic fail,6,1
a2540437bc,whew good really not want happen friends loved not wait talk monday class,13,0
6bcec9e91f,bummed not get tedx tickets,5,1
7f2caf1d49,miss jokes making fun ppl throwing ideas songs movies shows eachother never away,13,1
6109fbeca5,watching almost famous andrew michael yolanda,6,0
63a5bb931c,hate packing,2,1
828697505b,want buy great album unfortunately dont hav enuff funds long time noisy,12,1
7a08affa20,getting rained devon horse show head desk,7,0
907842d764,would contest not chickened,4,1
55d58bba3f,wants meet jeff hardy beth britt bad soo annoying,9,1
5bc4e623c4,clive birthday pat http apps facebook com dogbook profile view,10,0
c756261983,hot office air con broken weeks fans round office push hot air around really not helping,16,1
9bdcfc75d3,got shot arm eww,4,0
484220447c,another day not got time play plus raining chilly also headache wth going back sulking mode,16,1
cdb40ecdae,gotta get used pocketwit twikini,5,0
c9a409bf63,would read not sure would wanted opinion,7,0
578d6c1bfe,friend cliff tix wait ask trent let know else,9,0
200a42bce3,omg learned little girl played ducky first land time movie murdered age wtf,13,1
024260c62f,know unfortunately one fifteen bazillions americans without health insurance awesome,10,0
e28d5c1bfc,shall meet somewhere utah indiana,5,0
7716d2b1e5,virus hunting computer always wondering destroy,6,1
5c50f92c28,leaving work minutes broompark see new flats lunch mandy dad,10,0
c5dbfa2ee8,miss standing next,3,1
9717ecf937,morning closed eur jpy place stop executed asleep,8,0
972107b366,said goodbye young bro misshimalready,5,1
e98c74b566,market whn goes low also problem goes like wild bull also problem,12,1
a256b40c51,sweetie pie buttercup married ppl share hehehehehe includes shoe collection trading,11,0
4dcf655463,make bring sum,3,0
0c667d555e,everyone seems love felt kinda lazy repetative really disappointed,9,0
748ef7b372,want bittersweet lol,3,0
16192d3422,honza takes flight back czech republic morning really going miss,10,1
74bd281f00,tried phoning,2,0
77c53cab78,maybe next time not away weekend much would like jump car pout,12,0
c7b8023dbc,not went page made hungry,5,1
1313a49b84,need free fieldnotes not travel north street philly buy,9,0
200d44db72,wish one san francisco,4,0
5882e7f828,nite bored opposed almost sleep frm,6,1
d387ba5369,not sleep morning come soon rest new day perfect day start new changes,13,0
a490706bc1,everything except install crashed end safari crashes every cmd,9,0
625feab260,saw black snake garden went back picture gone,8,0
dc44d46fd8,got home city lights show yeahhh,6,0
a15bd06ed8,know old party like rockstar realize one else claps dance,10,0
e4e9b8713a,back hurts really bad,4,1
f0ca992fd4,hope not coming piggy flu eyes red neck long holds heavy head time sleep sogni oro,16,1
ec3201c4b0,keep bumping mouse computer not sleep internet access files work slow friday eeeeevvveeerrrr,13,1
ce39d76749,not subject line phone normal texts,6,0
a30cb4a91b,note self omelets good made butter not olive oil also not like cooking spits napkin,15,0
2f1cd44ea2,not want tell think body odour,6,1
f5bfebd4a2,finally get hands laptop ate big burrito asada ever gonna get ready party ooo,14,0
caa45036c5,hmmm sleep saturday work watch episodes one tree hill one tree hill think,13,0
cbe9f6ef8e,say gosh missed yesterday live chat bed sick,8,1
cfe9245188,rockin river tonight,3,0
ca092b6174,sure would know,3,0
a37c246f3b,really fun day gahhh want new phone razr killin,9,0
7d81397f97,playing restaurant city,3,0
1f8294cc21,lol love spahkly gold things,5,0
97d0d335f0,kimbalicious milk drink think thats whats making feel sick,9,1
7941093526,boss come today,3,1
ab2c0d3294,emilyy guys bomb haha,4,0
a8c2579b73,celebrating fact norwich city got relegated yesterday seems like awfully nice fry football rivals,14,1
5b6cea4767,http twitpic com lol drumming,5,0
555b90a504,bath time,2,0
70eb969d45,sad saying fat tears,4,1
1635b82ee7,car get towed thats happened redgie car last time went another reason not like splashtown,15,0
c78d8bc843,really want shish kebab going settle toast,7,0
b6492bf392,thanks making homemade lasagna mum today,6,0
e1697e3228,feels way cherry flavored items shannt grapes strange true,9,0
3e1aeefa4f,watching keeping kardashian youtube,4,0
d8e204b2a3,hey glad friday not happy ate bad apple,8,0
b65fff362b,anyone drive newish diesel car advice pros cons not interested old diesel cars need recent model experience suv,18,1
9ff3e87437,raining denver course,3,0
0f8195c613,talking today godness problems problems problems love money math parents enough,11,1
1b593b19e4,years phil spector http bit zwd,6,0
5e4e914e8c,kinda tired enough sleep migrate got singing along haha,9,1
8ddcf03dc4,going wedding afternoon,3,0
0b401a5b19,hot new,2,0
d90d97782d,sacto take babies kennel,4,0
4ccd06517b,yeah could not call dad mom brother either mom phone dad phone card expired brother work,16,0
10dccecb22,crew cob tried hard put great shows fans appreciate tell alexi get well soon,14,0
89721d859c,yea dongggg,2,0
190840ec5c,one hour till home commence pouting bahama trip,8,0
3ff22a3aa1,hahahah yeah right plus twitteraddict find well almost day likely,10,0
3ab87ba2c0,dig late see missed great time donny birthday remember call monday,11,0
c8637c5426,come erock left bah,4,0
